No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
1,"North America",US,USA,"Buffalo wing","A Buffalo wing, in the cuisine of the United States, is an unbreaded chicken wing section (flat or drumette) that is generally deep-fried then coated or dipped in a sauce consisting of a vinegar-based cayenne pepper hot sauce and melted butter prior to serving. The Buffalo wing was invented in 1964 at the Anchor Bar in Buffalo, New York by Teressa Bellissimo. They are traditionally served hot, along with celery sticks and carrot sticks with blue cheese dressing or ranch dressing for dipping. Locals refer to them merely as "wings".
Buffalo wings have gained in popularity in the United States and abroad, with some North American restaurant chains featuring them as a main menu item. The name "Buffalo" is now also applied to other spiced fried foods served with dipping sauces, including boneless chicken wings (made from chicken breast meat), chicken fries, chicken nuggets, popcorn chicken, and shrimp. It also describes other dishes, such as pizza, that are seasoned with the Buffalo-style sauce or a Buffalo flavor seasoning.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Buffalo_-_Wings_at_Airport_Anchor_Bar.jpg/330px-Buffalo_-_Wings_at_Airport_Anchor_Bar.jpg,,"US: {},//United States"
2,"North America",US,USA,"Clam Chowder","chowder is any of several chowder soups containing clams and broth. In addition to clams, common ingredients include diced potatoes, onions, and celery. Other vegetables are not typically used, but small carrot strips or a garnish of parsley might occasionally be added primarily for color. A garnish of bay leaves adds both color and flavor. It is believed that clams were used in chowder because of the relative ease of harvesting them.[3] Clam chowder is usually served with saltine crackers or small, hexagonal oyster crackers.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Quail_07_bg_041506.jpg/450px-Quail_07_bg_041506.jpg,,"CA: {},//Canada"
3,"North America",US,USA,"California roll","A California roll or California maki is a makizushi sushi roll that is usually rolled inside-out, and containing cucumber, crab or imitation crab, and avocado. Sometimes crab salad is substituted for the crab stick, and often the outer layer of rice in an inside-out roll (uramaki) is sprinkled with toasted sesame seeds or roe such as tobiko from flying fish ).",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/California_Sushi_%2826571101885%29.jpg/330px-California_Sushi_%2826571101885%29.jpg,,"MX: {}, //Mexico"
4,"North America",US,USA,"Hot dog","The hot dog (also spelled hotdog) is a grilled or steamed sausage sandwich where the sausage is served in the slit of a partially sliced bun. It can also refer to the sausage itself. The sausage used is the wiener (Vienna sausage) or frankfurter (also frank). The names of these sausages also commonly refer to their assembled sandwiches. Hot dog preparation and condiments vary regionally in the US. Typical condiments include mustard, ketchup, mayonnaise, relish, and cheese sauce, and common garnishes include onions, sauerkraut, jalapeños, chili, grated cheese, coleslaw, and olives. Hot dog variants include the corn dog and pigs in a blanket. The hot dog's cultural traditions include the Nathan's Hot Dog Eating Contest and the Oscar Mayer Wienermobile.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Hotdog_-_Evan_Swigart.jpg/330px-Hotdog_-_Evan_Swigart.jpg,,"HU: {}, //Hungary"
5,"North America",US,USA,"Corn dog","A corn dog (also spelled corndog) is a sausage (usually a hot dog) on a stick that has been coated in a thick layer of cornmeal batter and deep fried. It originated in the United States and is commonly found in American cuisine.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/CornDog.jpg/330px-CornDog.jpg,,"CZ: {}, //Czech Republic"
6,"North America",CA,Canada,Poutine,"These types of sausages and their sandwiches were culturally imported from Germany and became popular in the United States, where the "hot dog" became a working-class street food sold at stands and carts. The hot dog became closely associated with baseball and American culture. Although particularly connected with New York City and its cuisine, the hot dog eventually became ubiquitous throughout the US during the 20th century, and emerged as an important part of other regional cuisines, including Chicago street cuisine.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Poutine.JPG/375px-Poutine.JPG,,"RU: {}, //Russia"
7,"North America",CA,Canada,Bannock,"Bannock is a variety of flat quick bread or any large, round article baked or cooked from grain. A bannock is usually cut into sections before serving.Bannock varieties can be named or differentiated according to various characteristics: the flour or meal from which they are made, whether they are leavened or not, whether they have certain special ingredients, how they are baked or cooked, and the names of rituals or festivals in which they are used. Historically, specially made bannocks were used in rituals marking the changing of the Gaelic seasons: St Bride's bannock for spring (February 1), Bealtaine bannock for summer (May 1), Lughnasadh or Lammas bannock for autumn harvests (August 1), and Samhain bannock for winter (end of October). Other special bannocks include beremeal bannock, bride's bannock, cod liver bannock, cryin' bannock, fallaid bannock, fife bannock, Hogmanay bannock, Marymas bannock, mashlum bannock, Michaelmas bannock, pease bannock, Pitcaithly bannock, salt bannock, sautie bannock, Silverweed bannock, St Columba's bannock, teethin' bannock, Yetholm bannock, and Yule bannock. Manx bonnag probably comes from the same root form as bannock and is made using similar ingredients. In the north of England, bannocks are often made using pastry rather than a bread dough",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/BannockBeremeal.jpg/375px-BannockBeremeal.jpg,,"RO:{}, //Romania"
8,"North America",CA,Canada,"Butter tart","A butter tart is a type of small pastry tart highly regarded in Canadian cuisine and considered one of Canada's quintessential treats. The sweet tart consists of a filling of butter, sugar, syrup, and egg, baked in a pastry shell until the filling is semi-solid with a crunchy top. The butter tart should not be confused with butter pie (a savoury pie from the Preston area of Lancashire, England) or with bread and butter pudding. Recipes for the butter tart vary according to the families baking them. Because of this, the appearance and physical characteristics of the butter tart the firmness of its pastry, or the consistency of its filling also vary. Traditionally, the English Canadian tart consists of butter, sugar, and eggs in a pastry shell, similar to the French-Canadian sugar pie, or the base of the U.S. pecan pie without the nut topping. The butter tart is different from the sugar pie given the lack of flour in the filling. The butter tart is different from pecan pie in that it has a "runnier" filling due to the omission of corn starch. Often raisins, walnuts or pecans are added to the traditional butter tart, although the acceptability of such additions is a matter of national debateAs an iconic Canadian food and one of the most popular desserts in the country, the raisin-or-no-raisin question can provoke polarizing debate. More exotic flavours are also produced by some bakers. Examples such as maple, bacon, pumpkin, chili and salted caramel cardamom flavours have been made for competitions.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Pecan_butter_tart%2C_May_2011.jpg/375px-Pecan_butter_tart%2C_May_2011.jpg,,"BG: {}, //Bulgaria"
9,"North America",CA,Canada,"saskatoon berry pie","Saskatoon berry pie is a type of pie with a saskatoon berry filling. The pie originated in Canada and is often served with vanilla ice cream as a dessert. The primary ingredients of saskatoon berry pie include saskatoon berries, pie crust, sugar, cornstarch or flour, butter and lemon zest/juice. The pie is sometimes made with blueberries as a saskatoon berry substitute.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Saskatoonberry_pie.jpg/330px-Saskatoonberry_pie.jpg,,"DK: {}, //Denmark"
